iter	RMSE
154	2.106858668
155	2.106002942
156	2.104972132
157	2.103743224
158	2.102732363
159	2.101680248
160	2.100599725
161	2.09966814
162	2.098762159
163	2.097708863
164	2.096690472
165	2.095742298
166	2.094806239
167	2.093551591
168	2.092595815
169	2.091545534
170	2.090521287
171	2.089544203
172	2.088617058
173	2.08765857
174	2.08679786
175	2.085836016
176	2.085034147
177	2.084126966
178	2.083243547
179	2.082205817
180	2.081315564
181	2.080349291
182	2.079311159
183	2.078611323
184	2.07765177
185	2.076771809
186	2.075763756
187	2.074912831
188	2.074056319
189	2.073183227
190	2.072338524
191	2.071488254
192	2.070657964
193	2.069780683
194	2.069024992
195	2.067994314
196	2.06722378
197	2.066452407
198	2.065652246
199	2.064777234
200	2.063866134
201	2.062955576
202	2.062179635
203	2.061257699
204	2.060479905
205	2.059554921
206	2.058703926
207	2.057869268
208	2.057088797
209	2.056344051
210	2.055566684
211	2.054840828
212	2.054053314
213	2.053319358
214	2.052276369
215	2.051550798
216	2.050776583
217	2.049911615
218	2.048830574
219	2.048170826
220	2.047215027
221	2.046510811
222	2.04574328
223	2.045047204
224	2.04434723
225	2.043621034
226	2.042900035
227	2.041965222
228	2.041093733
229	2.040427241
230	2.039767254
231	2.039003995
232	2.038372227
233	2.037622993
234	2.03674039
235	2.035989055
236	2.035268526
237	2.034635483
238	2.033889666
239	2.033248727
240	2.032517034
241	2.031908731
242	2.031218374
243	2.030518684
244	2.02983178
245	2.029107732
246	2.028458501
247	2.027774889
248	2.027136293
249	2.026427985
250	2.025842353
251	2.025091104
252	2.024396907
253	2.023755196
254	2.023163333
255	2.022359684
256	2.021602085
257	2.020990766
258	2.020331214
259	2.019771616
260	2.019136922
261	2.018132794
262	2.017569794
263	2.016929689
264	2.016325456
265	2.015724256
266	2.015089736
267	2.014303075
268	2.013570226
269	2.01287411
270	2.012298966
271	2.011604965
272	2.011007855
273	2.010473253
274	2.009798935
275	2.009243063
276	2.008363514
277	2.007786566
278	2.007121566
279	2.006392482
280	2.005829496
281	2.005117778
282	2.004552989
283	2.004042686
284	2.003470105
285	2.002926826
286	2.002420204
287	2.001797965
288	2.001215646
289	2.000490522
290	1.999945215
291	1.999224349
292	1.998672298
293	1.998001164
294	1.99715271
295	1.996652672
296	1.996085422
297	1.99552638
298	1.994956638
299	1.994410924
300	1.993900234
301	1.993414313
302	1.992915373
303	1.992360172
304	1.991841573
305	1.991121113
306	1.990442291
307	1.98992446
308	1.989330292
309	1.988767659
310	1.988234779
311	1.987756399
312	1.987171096
313	1.986594236
314	1.986085874
315	1.985497174
316	1.984998593
317	1.984410812
318	1.983836896
319	1.983035195
320	1.982420237
321	1.981807686
322	1.981153605
323	1.980644527
324	1.979978976
325	1.979412346
326	1.97893886
327	1.978393151
328	1.977769439
329	1.977244657
330	1.97674508
331	1.976263352
332	1.975707255
333	1.975154175
334	1.974532146
335	1.973983163
336	1.973374115
337	1.972777998
338	1.972258074
339	1.971847231
340	1.971381526
341	1.970798951
342	1.970213107
343	1.969744787
344	1.969170192
345	1.968663437
346	1.968075949
347	1.967566043
348	1.967102575
349	1.966644236
350	1.966235956
351	1.965698679
352	1.965232128
353	1.964722832
354	1.964178757
355	1.963592031
356	1.963143974
357	1.962702261
358	1.9621923
359	1.961700646
360	1.961138615
361	1.960707574
362	1.960039943
363	1.959448434
364	1.958923534
365	1.958415036
366	1.958016842
367	1.957434656
368	1.956988417
369	1.956247953
370	1.955866172
371	1.95526562
372	1.954795606
373	1.954228128
374	1.953703555
375	1.95331909
376	1.95277814
377	1.952210011
378	1.951703277
379	1.95136915
380	1.950839002
381	1.950373657
382	1.949892725
383	1.949502842
384	1.949031952
385	1.948643623
386	1.948240028
387	1.947603911
388	1.947142945
389	1.946424641
390	1.945900698
391	1.945398016
392	1.944953363
393	1.944411003
394	1.943915517
395	1.943392624
396	1.942888781
397	1.942336643
398	1.941945347
399	1.941548628
400	1.941026185
401	1.940680253
402	1.940232475
403	1.939865262
404	1.93941534
405	1.939049925
406	1.938538004
407	1.938074296
408	1.937687389
409	1.937221221
410	1.936823822
411	1.936419777
412	1.935899455
413	1.935542308
414	1.935015013
415	1.934576987
416	1.93401946
417	1.933477568
418	1.932936443
419	1.932461463
420	1.932046794
421	1.931589885
422	1.931228627
423	1.930750944
424	1.930266445
425	1.929814749
426	1.929420698
427	1.929062002
428	1.928472316
429	1.927890971
430	1.92727341
431	1.926737372
432	1.926293127
433	1.925970253
434	1.925467437
435	1.924856227
436	1.924461337
437	1.924045471
438	1.923504109
439	1.923121695
440	1.922764704
441	1.922334226
442	1.921837599
443	1.921413333
444	1.920944586
445	1.920427328
446	1.920021919
447	1.919548062
448	1.918990251
449	1.918595461
450	1.918151335
451	1.917785005
452	1.917329112
453	1.916836545
454	1.916391704
455	1.915974618
456	1.915536571
457	1.915179775
458	1.91484157
459	1.914419574
460	1.914017114
461	1.913496408
462	1.913136709
463	1.912699954
464	1.912284543
465	1.91189158
466	1.911572561
467	1.91118685
468	1.910626577
469	1.910170309
470	1.909699231
471	1.909099556
472	1.908708584
473	1.908119029
474	1.907776788
475	1.907413613
476	1.907061319
477	1.906651319
478	1.90608165
479	1.905547272
480	1.905076977
481	1.904672305
482	1.904372311
483	1.903908373
484	1.903393106
485	1.902994353
486	1.902598634
487	1.902021881
488	1.901512018
489	1.901123632
490	1.900620687
491	1.900196581
492	1.899794986
493	1.89937905
494	1.898930571
495	1.898576575
496	1.898215962
497	1.897827988
498	1.897517788
499	1.89710207
500	1.896693011
501	1.896291997
502	1.895911014
503	1.895335767
504	1.894938696
505	1.894633196
506	1.894201844
507	1.893796373
508	1.893328306
509	1.892934465
510	1.892517114
511	1.892087523
512	1.891723151
513	1.891358429
514	1.891034717
515	1.890517963
516	1.890211964
517	1.889850039
518	1.889526116
519	1.889011855
520	1.888734217
521	1.888328771
522	1.887916626
523	1.887441455
524	1.887080972
525	1.886671041
526	1.886392192
527	1.886061359
528	1.885646153
529	1.885352961
530	1.884897643
531	1.884533642
532	1.884078817
533	1.883539574
534	1.883110526
535	1.882826722
536	1.88249448
537	1.882040662
538	1.881724108
539	1.881305564
540	1.880963224
541	1.880662542
542	1.880233902
543	1.879896318
544	1.879527623
545	1.879202373
546	1.878759737
547	1.878375631
548	1.878014187
549	1.877703772
550	1.877293773
551	1.876838952
552	1.876290316
553	1.875944713
554	1.875606631
555	1.875142121
556	1.874735235
557	1.87437511
558	1.874071205
559	1.873625651
560	1.87325013
561	1.872938459
562	1.87256856
563	1.872271874
564	1.871856681
565	1.871508701
566	1.871148735
567	1.870462657
568	1.86998856
569	1.869665043
570	1.869254679
571	1.868879317
572	1.86848066
573	1.868093209
574	1.867531748
575	1.867131968
576	1.866724035
577	1.866329659
578	1.865984817
579	1.865610362
580	1.865063443
581	1.864738111
582	1.86439681
583	1.864089727
584	1.863691204
585	1.863216147
586	1.862953919
587	1.862482359
588	1.861955799
589	1.861514517
590	1.861138065
591	1.860715994
592	1.860220499
593	1.859913227
594	1.859463616
595	1.859151547
596	1.85877417
597	1.858491119
598	1.857971965
599	1.857632548
600	1.857225008
601	1.856878253
602	1.85642072
603	1.856000555
604	1.855685343
605	1.855243663
606	1.85484699
607	1.854472609
608	1.854170143
609	1.853776343
610	1.853448883
611	1.853054823
612	1.852670891
613	1.8522022
614	1.851852607
615	1.851523468
616	1.851204631
617	1.850929798
618	1.850544828
619	1.850278154
620	1.849890847
621	1.849625328
622	1.849152836
623	1.848784628
624	1.848434453
625	1.848086301
626	1.847766725
627	1.847356593
628	1.84695261
629	1.846570722
630	1.846227693
631	1.84592157
632	1.845621588
633	1.845250786
634	1.844879823
635	1.844583776
636	1.844171275
637	1.843770359
638	1.84345062
639	1.843136349
640	1.842866388
641	1.842525636
642	1.842131364
643	1.84176006
644	1.841443151
645	1.841115749
646	1.840720697
647	1.840312479
648	1.839885645
649	1.839540425
650	1.839257354
651	1.838927269
652	1.838591414
653	1.838222739
654	1.83786991
655	1.837626585
656	1.837343035
657	1.83702392
658	1.836622587
659	1.8362837
660	1.835945045
661	1.835683859
662	1.835344576
663	1.834963949
664	1.834573186
665	1.8340683
666	1.833740213
667	1.833404384
668	1.833124866
669	1.832736591
670	1.832441578
671	1.83209966
672	1.831831215
673	1.831471627
674	1.831135191
675	1.83090183
676	1.830565485
677	1.830231011
678	1.829872548
679	1.829506871
680	1.829213247
681	1.828950318
682	1.828728951
683	1.828421044
684	1.828074973
685	1.827714489
686	1.827434531
687	1.827200482
688	1.826918348
689	1.826600606
690	1.826188413
691	1.82581578
692	1.825506352
693	1.825231071
694	1.824895799
695	1.824507863
696	1.824304819
697	1.824042724
698	1.823673378
699	1.823212624
700	1.822837572
701	1.822567582
702	1.822189568
703	1.821773209
704	1.821276311
705	1.821020588
706	1.820638814
707	1.820254889
708	1.819878169
709	1.819518031
710	1.819118829
711	1.818742249
712	1.818301791
713	1.817990909
714	1.817581524
715	1.817235049
716	1.816907692
717	1.816683688
718	1.816253464
719	1.815895631
720	1.815581302
721	1.815288643
722	1.814964433
723	1.814734332
724	1.814416765
725	1.814087162
726	1.813803769
727	1.813462093
728	1.813177156
729	1.812819495
730	1.812465927
731	1.812075962
732	1.811725328
733	1.811411277
734	1.811040684
735	1.810751283
736	1.81037034
737	1.810020649
738	1.809763299
739	1.809491652
740	1.809060064
741	1.808772181
742	1.808440529
743	1.808167117
744	1.807834063
745	1.807580679
746	1.807301995
747	1.807006652
748	1.806700652
749	1.806357838
750	1.805978217
751	1.805696576
752	1.80540317
753	1.805198732
754	1.804885056
755	1.804580571
756	1.804279143
757	1.804017452
758	1.803681303
759	1.803391065
760	1.803036314
761	1.802754201
762	1.802359032
763	1.802125618
764	1.801878594
765	1.801547659
766	1.801172038
767	1.800799375
768	1.800478706
769	1.800189861
770	1.799840145
771	1.799512062
772	1.799136402
773	1.798862595
774	1.798516078
775	1.798097143
776	1.797844867
777	1.797581643
778	1.797365803
779	1.797050209
780	1.796782264
781	1.796425296
782	1.796201367
783	1.795863023
784	1.795553154
785	1.79529321
786	1.794991278
787	1.794678906
788	1.794354024
789	1.794121911
790	1.793843798
791	1.793598333
792	1.79329651
793	1.792959533
794	1.792709223
795	1.79249527
796	1.792148194
797	1.791913487
798	1.791627701
799	1.791280756
800	1.790856239
801	1.790653801
802	1.790399792
803	1.789996581
804	1.789730416
805	1.789346731
806	1.78902138
807	1.78870224
808	1.788461739
809	1.788130911
810	1.78779697
811	1.787422958
812	1.787029029
813	1.786820355
814	1.786596574
815	1.786319475
816	1.78596312
817	1.785673009
818	1.785316361
819	1.784948862
820	1.784672785
821	1.784404883
822	1.784057314
823	1.783841552
824	1.783430223
825	1.783069441
826	1.782765108
827	1.782496116
828	1.782167738
829	1.781886478
830	1.781632029
831	1.781327305
832	1.780996949
833	1.780720018
834	1.780329289
835	1.780011234
836	1.779650876
837	1.779442809
838	1.779108694
839	1.778767868
840	1.778543433
841	1.778294651
842	1.778019542
843	1.777579173
844	1.777091812
845	1.776774464
846	1.776399155
847	1.776052995
848	1.775731077
849	1.775344122
850	1.774998876
851	1.77477557
852	1.774488811
853	1.774292112
854	1.774063144
855	1.773688034
856	1.773443631
857	1.773080193
858	1.772856313
859	1.77252633
860	1.7722522
861	1.772003069
862	1.771659572
863	1.771413767
864	1.771118432
865	1.770821873
866	1.770552961
867	1.77025365
868	1.769913203
869	1.769539677
870	1.76927787
871	1.768963951
872	1.768574263
873	1.76825941
874	1.767911124
875	1.767691846
876	1.767382884
877	1.767063051
878	1.766833194
879	1.766574635
880	1.766375562
881	1.765933695
882	1.765562802
883	1.765289184
884	1.764924835
885	1.764524461
886	1.764296197
887	1.763994103
888	1.763685693
889	1.763352868
890	1.763101446
891	1.762864092
892	1.762579604
893	1.762352875
894	1.762052417
895	1.76181059
896	1.761558675
897	1.761251419
898	1.760862571
899	1.760630452
900	1.760454265
901	1.760136065
902	1.759840981
903	1.759489581
904	1.759199032
905	1.758903272
906	1.758722265
907	1.758446478
908	1.758192406
909	1.757888055
910	1.757642302
911	1.757392508
912	1.757075139
913	1.756773698
914	1.756524702
915	1.75627892
916	1.755999228
917	1.755657002
918	1.755443625
919	1.755136421
920	1.754925927
921	1.754678859
922	1.754335545
923	1.754095662
924	1.753823803
925	1.753542049
926	1.753301556
927	1.752993802
928	1.752680847
929	1.752436271
930	1.75219606
931	1.751812878
932	1.751522448
933	1.751083508
934	1.750869342
935	1.750566495
936	1.750185441
937	1.749886415
938	1.749594457
939	1.749381606
940	1.748964066
941	1.748574466
942	1.748306472
943	1.747994813
944	1.74776325
945	1.74752751
946	1.74723893
947	1.746904701
948	1.746609455
949	1.746232531
950	1.746023754
951	1.74571702
952	1.745398218
953	1.745157336
954	1.744923138
955	1.744698737
956	1.744484449
957	1.744129435
958	1.743772107
959	1.743522757
960	1.743243438
961	1.743016602
962	1.742623895
963	1.742325982
964	1.741998552
965	1.741800912
966	1.741567068
967	1.741262462
968	1.741053289
969	1.740834055
970	1.740550295
971	1.740301366
972	1.739953235
973	1.739633116
974	1.739307376
975	1.73899904
976	1.738666187
977	1.738426641
978	1.738117778
979	1.737888871
980	1.737652904
981	1.737340003
982	1.737095128
983	1.736882249
984	1.736612141
985	1.736335517
986	1.73602357
987	1.735738364
988	1.73548872
989	1.73527029
990	1.734945654
991	1.734672649
992	1.734474227
993	1.734192241
994	1.733922415
995	1.733687306
996	1.733320111
997	1.733026811
998	1.73276751
999	1.732572123
