iter	Passed	Remaining
407	5740	8329
408	5754	8315
409	5768	8301
410	5781	8285
411	5795	8270
412	5808	8256
413	5822	8241
414	5833	8223
415	5845	8205
416	5858	8191
417	5872	8177
418	5889	8166
419	5903	8152
420	5913	8133
421	5925	8115
422	5937	8098
423	5949	8082
424	5961	8065
425	5973	8049
426	5994	8044
427	6011	8034
428	6027	8023
429	6043	8010
430	6058	7998
431	6072	7984
432	6086	7970
433	6097	7952
434	6112	7938
435	6123	7921
436	6136	7905
437	6155	7898
438	6171	7886
439	6185	7872
440	6201	7860
441	6216	7847
442	6230	7833
443	6247	7823
444	6260	7808
445	6276	7796
446	6291	7783
447	6305	7769
448	6317	7752
449	6332	7739
450	6346	7724
451	6358	7708
452	6370	7691
453	6383	7677
454	6395	7660
455	6408	7644
456	6421	7629
457	6433	7613
458	6444	7595
459	6456	7579
460	6468	7562
461	6480	7546
462	6494	7532
463	6511	7521
464	6526	7508
465	6540	7494
466	6552	7478
467	6565	7463
468	6578	7448
469	6592	7433
470	6604	7417
471	6615	7399
472	6625	7382
473	6641	7369
474	6654	7354
475	6668	7341
476	6685	7330
477	6699	7316
478	6714	7303
479	6727	7288
480	6740	7272
481	6752	7256
482	6765	7241
483	6779	7227
484	6792	7212
485	6804	7196
486	6821	7185
487	6835	7171
488	6848	7157
489	6863	7143
490	6877	7129
491	6891	7115
492	6906	7102
493	6924	7092
494	6938	7078
495	6951	7063
496	6963	7047
497	6976	7032
498	6988	7016
499	7004	7004
500	7016	6988
501	7028	6972
502	7040	6956
503	7054	6942
504	7065	6925
505	7077	6910
506	7089	6893
507	7103	6879
508	7118	6866
509	7130	6851
510	7141	6834
511	7153	6818
512	7165	6802
513	7178	6787
514	7190	6771
515	7205	6758
516	7218	6743
517	7232	6729
518	7246	6716
519	7258	6700
520	7270	6684
521	7282	6668
522	7295	6653
523	7308	6638
524	7320	6623
525	7333	6608
526	7346	6593
527	7360	6579
528	7375	6566
529	7390	6553
530	7402	6537
531	7416	6524
532	7429	6509
533	7442	6494
534	7458	6482
535	7476	6471
536	7491	6459
537	7505	6445
538	7521	6433
539	7535	6418
540	7549	6404
541	7561	6389
542	7576	6376
543	7589	6362
544	7604	6348
545	7617	6333
546	7636	6323
547	7650	6310
548	7663	6295
549	7675	6279
550	7690	6267
551	7704	6253
552	7722	6242
553	7737	6229
554	7752	6215
555	7764	6200
556	7777	6185
557	7792	6172
558	7803	6156
559	7815	6140
560	7830	6127
561	7842	6111
562	7855	6097
563	7869	6083
564	7885	6070
